state,county,month.index,avg.temp,lat,lng,type,cases
MI,wexford county,4,38.8,44.3384,-85.5784,poultry,70
SD,kingsbury county,3,30.6,44.3696,-97.4915,poultry,159500
MN,le sueur county,4,39.4,44.3714,-93.7301,poultry,57400
MN,le sueur county,10,49.3,44.3714,-93.7301,poultry,20100
MN,lyon county,5,57.6,44.4135,-95.839,poultry,120300
SD,beadle county,3,31.9,44.4145,-98.2781,poultry,79300
SD,beadle county,4,40.7,44.4145,-98.2781,poultry,55600
SD,beadle county,5,57.3,44.4145,-98.2781,poultry,56200
SD,beadle county,10,49.3,44.4145,-98.2781,poultry,71400
SD,beadle county,11,29.4,44.4145,-98.2781,poultry,147800
MN,dakota county,5,59.6,44.6719,-93.0654,poultry,54400
SD,hamlin county,11,28.8,44.6738,-97.1883,poultry,50000
SD,hamlin county,12,12.5,44.6738,-97.1883,poultry,58100
MN,yellow medicine county,4,38.1,44.7163,-95.8684,poultry,94300
MN,renville county,4,38.8,44.7268,-94.9471,poultry,76400
SD,deuel county,4,36.4,44.7601,-96.668,poultry,1400
SD,clark county,3,29.4,44.8583,-97.7295,poultry,43100
SD,clark county,4,37.1,44.8583,-97.7295,poultry,62700
SD,clark county,9,63.6,44.8583,-97.7295,poultry,65600
SD,clark county,12,12.1,44.8583,-97.7295,poultry,24300
SD,spink county,3,31.1,44.938,-98.3462,poultry,45900
SD,spink county,4,39.2,44.938,-98.3462,poultry,68100
SD,spink county,11,28.7,44.938,-98.3462,poultry,88400
SD,spink county,12,12.3,44.938,-98.3462,poultry,280
WI,dunn county,9,61.3,44.9466,-91.8964,poultry,79500
SD,codington county,5,55.2,44.9779,-97.1886,poultry,80
SD,codington county,13,13,44.9779,-97.1886,poultry,140
MN,lac qui parle county,3,29.9,44.9955,-96.1735,poultry,22500
SD,faulk county,4,38.1,45.071,-99.1453,poultry,48000
SD,faulk county,11,27.5,45.071,-99.1453,poultry,49900
MN,meeker county,3,28.6,45.1231,-94.5273,poultry,287500
MN,meeker county,4,37.2,45.1231,-94.5273,poultry,254700
MN,meeker county,8,68.2,45.1231,-94.5273,poultry,178400
MN,meeker county,9,62.1,45.1231,-94.5273,poultry,95600
MN,kandiyohi county,3,28.9,45.1524,-95.0047,poultry,39500
MN,kandiyohi county,4,37.4,45.1524,-95.0047,poultry,239700
MN,kandiyohi county,5,57.8,45.1524,-95.0047,poultry,4700
OR,yamhill county,11,41.4,45.2327,-123.3081,poultry,150
MN,swift county,4,37.6,45.2827,-95.6815,poultry,289900
MN,swift county,10,49.4,45.2827,-95.6815,poultry,79400
SD,day county,5,54.6,45.3671,-97.6074,poultry,80
SD,edmunds county,3,30,45.4188,-99.2153,poultry,52700
SD,edmunds county,4,37.1,45.4188,-99.2153,poultry,67000
SD,edmunds county,11,26.2,45.4188,-99.2153,poultry,34400
WI,barron county,4,37.1,45.4237,-91.8483,poultry,157200
WI,barron county,5,56.1,45.4237,-91.8483,poultry,96600
MN,big stone county,4,37.6,45.4261,-96.4109,poultry,49500
WI,polk county,4,37.4,45.4614,-92.4413,poultry,22000
MN,chisago county,5,57.9,45.5025,-92.9084,poultry,160
MN,stearns county,3,28,45.5521,-94.613,poultry,23500
MN,stearns county,4,37.6,45.5521,-94.613,poultry,253500
MN,stearns county,9,61.9,45.5521,-94.613,poultry,134000
MN,stearns county,10,48.6,45.5521,-94.613,poultry,75000
MN,stearns county,11,30.9,45.5521,-94.613,poultry,8500
MI,menominee county,4,37.2,45.5801,-87.5566,poultry,350
SD,roberts county,10,48.4,45.6296,-96.9461,poultry,3600
SD,mcpherson county,3,28.5,45.7664,-99.2214,poultry,69900
SD,mcpherson county,4,35.8,45.7664,-99.2214,poultry,106900
SD,mcpherson county,9,61.7,45.7664,-99.2214,poultry,56900
MN,morrison county,3,26.8,46.0126,-94.2684,poultry,52600
